020e3,amuse
120e3,ride
1f004,mic
1f17f,video
1f194,record
1f302,music
1f303,art
1f304,hat
1f305,check
1f306,film
1f307,shot
1f308,gamble
1f30a,game
1f319,note
1f31f,by
1f334,instrument
1f335,guitar
1f337,trumpet
1f338,tennis
1f339,ski
1f33a,nokia
1f33b,microsoft
1f33e,change
1f34a,orange
1f34e,apple
1f353,temple
1f354,chinese
1f359,idea
1f35b,bomb
1f35c,sleeping
1f35d,fart
1f35e,poo
1f35f,muscle
1f363,rich
1f366,creative
1f367,stock
1f370,seat
1f371,tv
1f372,suitcase
1f373,disk
1f375,drive
1f376,book
1f378,write
1f37a,fax
1f37b,satellite
1f380,announce
1f381,speaker
1f382,inbox
1f383,mail
1f384,post
1f385,cell
1f386,incoming
1f387,network
1f388,ruby
1f389,world
1f392,radio
1f393,video
1f3a1,mountain
1f3a2,NewYork
1f3a4,ship
1f3a5,submarine
1f3a6,traffic
1f3a7,construction
1f3a8,cigarette
1f3a9,nosmoking
1f3ab,bicycle
1f3ac,walk
1f3af,male
1f3b0,female
1f3b1,unisex
1f3b5,baby
1f3b6,toilet
1f3b7,bath
1f3b8,parking
1f3ba,wave
1f3be,star
1f3bf,flower
1f3c0,sunflower
1f3c1,lily
1f3c3,deliver
1f3c4,advanc
1f3c6,rice
1f3c8,meal
1f3ca,ramen
1f3e0,home
1f3e2,bread
1f3e3,librar
1f3e5,beer
1f3e6,drinking
1f3e7,snake
1f3e8,horse
1f3e9,shell
1f3ea,fish
1f3eb,school
1f3ec,dolphin
1f3ed,rat
1f3ef,cow
1f3f0,tiger
1f40d,bug
1f40e,test
1f411,fist
1f412,waving
1f414,perfect
1f417,great
1f418,down
1f419,availabl
1f41a,bag
1f41f,shoe
1f420,download
1f424,your
1f426,girlfriends
1f427,ghost
1f428,angel
1f42b,alien
1f42c,game
1f42d,evil
1f42e,pill
1f42f,lip
1f430,ring
1f431,diamond
1f433,some
1f434,announce
1f435,inspect
1f436,illegal
1f437,gun
1f438,happy
1f43a,embrace
1f43b,love
1f440,smirk
1f442,loving
1f443,cute
1f444,sad
1f446,boring
1f447,cry
1f448,cheer
1f449,pray
1f44a,bus
1f44b,truck
1f44d,rain
1f44e,night
1f44f,down
1f451,sunrise
1f459,dusk
1f45c,evening
1f45f,gay
1f460,moon
1f462,tropical
1f466,boy
1f467,friend
1f468,researcher
1f469,designer
1f46b,luck
1f46e,police
1f46f,leaves
1f471,student
1f472,tomato
1f473,eggplant
1f474,watermelon
1f475,berry
1f476,hamburger
1f477,snack
1f47b,sushi
1f47c,icecream
1f47d,dessert
1f47e,cake
1f47f,yum
1f483,artist
1f484,fry
1f485,meal
1f486,tea
1f487,sake
1f488,booze
1f48a,pack
1f48b,present
1f48d,sweet
1f48e,halloween
1f48f,christmas
1f491,santa
1f494,holidays
1f497,celebrate
1f498,up
1f4a1,fest
1f4a2,school
